car	cylinders	displacement	horsepower	weight	acceleration	model	origin	mpg
dodge d100	8	318	150.0	3755	14.0	76	1	17.823818173765506
pontiac sunbird coupe	4	151	88.0	2740	16.0	77	1	25.131808208497848
dodge aspen	6	225	90.0	3381	18.7	80	1	23.97042381892862
toyota carina	4	97	88.0	2279	19.0	73	3	27.115441164492754
dodge colt	4	98	79.0	2255	17.7	76	1	26.79841217664735
ford fairmont (man)	4	140	88.0	2720	15.4	78	1	25.79017213834396
chevrolet impala	8	350	165.0	4209	12.0	71	1	11.506684989686935
capri ii	4	140	92.0	2572	14.9	76	1	25.071391983742256
plymouth duster	6	198	95.0	2833	15.5	70	1	19.13539404412595
peugeot 504	4	120	88.0	3270	21.9	76	2	22.673002594598348
chevy s-10	4	119	82.0	2720	19.4	82	1	28.836396557083514
datsun 310	4	86	65.0	2019	16.4	80	3	33.894419240951876
datsun 310 gx	4	91	67.0	1995	16.2	82	3	35.51736146479368
ford galaxie 500	8	351	153.0	4129	13.0	72	1	13.02849139489464
volkswagen dasher	4	97	78.0	2190	14.1	77	2	29.047275208809214
plymouth fury iii	8	440	215.0	4312	8.5	70	1	10.169109858728845
buick opel isuzu deluxe	4	111	80.0	2155	14.8	77	1	28.071898241089297
audi 5000	5	131	103.0	2830	15.9	78	2	25.75054259628683
dodge diplomat	8	318	140.0	3735	13.2	78	1	19.550952834096922
amc matador	8	304	150.0	3672	11.5	73	1	15.740161263150174
amc matador (sw)	8	304	150.0	4257	15.5	74	1	13.340204489005533
amc spirit dl	4	121	80.0	2670	15.0	79	1	26.6864858049116
renault 12tl	4	101	83.0	2202	15.3	76	2	28.282509472238115
amc gremlin	6	232	100.0	2634	13.0	71	1	21.22241602531297
mercedes-benz 280s	6	168	120.0	3820	16.7	76	2	18.339880122009657
volkswagen dasher	4	79	67.0	1963	15.5	74	2	28.238499548411827
audi 100ls	4	115	95.0	2694	15.0	75	2	24.61133747186936
pontiac grand prix	8	400	230.0	4278	9.5	73	1	11.794578804710643
saab 99le	4	121	110.0	2660	14.0	73	2	23.056885053122468
buick century limited	6	181	110.0	2945	16.4	82	1	26.82326720293653
ford fiesta	4	98	66.0	1800	14.4	78	1	30.948428375060384
pontiac catalina	8	455	225.0	4425	10.0	70	1	9.621569327247908
oldsmobile starfire sx	4	151	85.0	2855	17.6	78	1	25.365872085653844
mazda rx-7 gs	3	70	100.0	2420	12.5	80	3	30.763800055351407
toyota corolla	4	108	70.0	2245	16.9	82	3	34.28096178647576
oldsmobile vista cruiser	8	350	180.0	4499	12.5	73	1	11.020666876913744
mercury lynx l	4	98	70.0	2125	17.3	82	1	32.11141343122999
ford ltd	8	351	148.0	4657	13.5	75	1	12.284375450427742
chevrolet malibu	8	350	145.0	3988	13.0	73	1	14.729864979501883
datsun b210 gx	4	85	70.0	2070	18.6	78	3	32.169340518642656
mercury capri v6	6	155	107.0	2472	14.0	73	1	22.512665761345016
maxda glc deluxe	4	86	65.0	1975	15.2	79	3	33.333474835576496
volvo 245	4	130	102.0	3150	15.7	76	2	22.800641341568227
amc concord dl 6	6	232	90.0	3265	18.2	79	1	23.97405418894522
mercury grand marquis	8	351	138.0	3955	13.2	79	1	19.492868697206834
ford futura	8	302	139.0	3205	11.2	78	1	22.30424817962756
triumph tr7 coupe	4	122	88.0	2500	15.1	80	2	29.654656928035973
amc concord	6	232	90.0	3210	17.2	78	1	23.49120984785832
ford pinto	4	122	80.0	2451	16.5	74	1	24.412038197807764
datsun 280-zx	6	168	132.0	2910	11.4	80	3	27.35787872041487
toyota corolla	4	108	75.0	2350	16.8	81	3	32.82838114397707
plymouth volare premier v8	8	318	150.0	3940	13.2	76	1	16.688890444355867
chevrolet camaro	4	151	90.0	2950	17.3	82	1	27.627856063316752
subaru dl	4	97	67.0	1985	16.4	77	3	32.00158285660356
ford granada	6	250	98.0	3525	19.0	77	1	21.132844088388328
chevrolet chevette	4	85	52.0	2035	22.2	76	1	28.752261962076364
volvo 145e (sw)	4	121	112.0	2933	14.5	72	2	20.725502904113984
volvo 144ea	4	121	112.0	2868	15.5	73	2	21.908370625844096
plymouth champ	4	86	64.0	1875	16.4	81	1	32.72771674022886
ford torino 500	6	250	88.0	3302	15.5	71	1	17.983856084752812
audi 5000s (diesel)	5	121	67.0	2950	19.9	80	2	27.373599018243315
dodge coronet custom	8	318	150.0	3777	12.5	73	1	15.38889979030711
honda prelude	4	107	75.0	2210	14.4	81	3	33.46421412721823
ford fairmont	4	140	88.0	2870	18.1	80	1	26.571279084023313
chevrolet cavalier	4	112	88.0	2605	19.6	82	1	29.306507268238985
plymouth valiant custom	6	225	95.0	3264	16.0	75	1	20.6956516491996
mercury zephyr	6	200	85.0	3070	16.7	78	1	23.934189035790222
datsun 210	4	85	65.0	2110	19.2	80	3	33.544919830755404
ford granada gl	6	200	88.0	3060	17.1	81	1	26.163045718803165
plymouth arrow gs	4	122	96.0	2300	15.5	77	1	27.108341231760495
ford thunderbird	8	351	149.0	4335	14.5	77	1	15.68067954320217
ford fairmont futura	4	140	92.0	2865	16.4	82	1	27.870845348714727
dodge magnum xe	8	318	140.0	4080	13.7	78	1	17.57321375073813
dodge colt (sw)	4	98	80.0	2164	15.0	72	1	24.18525034394936
oldsmobile cutlass ciera (diesel)	6	262	85.0	3015	17.0	82	1	28.060584742602355
buick century	6	231	110.0	3415	15.8	81	1	23.989978484752452
oldsmobile omega brougham	6	173	115.0	2700	12.9	79	1	25.59803859406932
chrysler new yorker brougham	8	440	215.0	4735	11.0	73	1	10.077764477616213
fiat 124 sport coupe	4	98	90.0	2265	15.5	73	2	25.54708695769023
dodge challenger se	8	383	170.0	3563	10.0	70	1	14.754372054536859
